Time,Theta_SW,Theta_H,Theta_A,Theta_S,K_H,K_A,B_H,B_A
0.532,0.661143817,0.507257943,0.861794279,0.662064306,0.5,0.5,0.1,0.1
0.534,0.662154616,0.508980516,0.86077804,0.663084918,0.5,0.5,0.1,0.1
0.536,0.663159649,0.510701053,0.859758358,0.664085485,0.5,0.5,0.1,0.1
0.538,0.664158975,0.512419547,0.858735237,0.665066158,0.5,0.5,0.1,0.1
0.54,0.665152147,0.514135992,0.857708681,0.666027592,0.5,0.5,0.1,0.1
0.542,0.666138256,0.51585038,0.856678695,0.666970903,0.5,0.5,0.1,0.1
0.544,0.667116017,0.517562704,0.855645281,0.667897587,0.5,0.5,0.1,0.1
0.546,0.668083871,0.519272958,0.854608445,0.668809408,0.5,0.5,0.1,0.1
0.548,0.669040112,0.520981136,0.853568191,0.66970828,0.5,0.5,0.1,0.1
0.55,0.669983022,0.522687229,0.852524522,0.67059613,0.5,0.5,0.1,0.1
0.552,0.670910995,0.524391231,0.851477443,0.671474768,0.5,0.5,0.1,0.1
0.554,0.671822666,0.526093136,0.850426959,0.672345766,0.5,0.5,0.1,0.1
0.556,0.672717007,0.527792937,0.849373072,0.673210361,0.5,0.5,0.1,0.1
0.558,0.673593401,0.529490626,0.848315788,0.674069371,0.5,0.5,0.1,0.1
0.56,0.674451691,0.531186198,0.847255111,0.674923162,0.5,0.5,0.1,0.1
0.562,0.675292185,0.532879645,0.846191045,0.675771628,0.5,0.5,0.1,0.1
0.564,0.676115635,0.53457096,0.845123594,0.676614222,0.5,0.5,0.1,0.1
0.566,0.676923184,0.536260137,0.844052762,0.677450005,0.5,0.5,0.1,0.1
0.568,0.67771628,0.537947169,0.842978555,0.678277731,0.5,0.5,0.1,0.1
0.57,0.678496576,0.539632049,0.841900975,0.679095951,0.5,0.5,0.1,0.1
0.572,0.679265815,0.54131477,0.840820028,0.679903122,0.5,0.5,0.1,0.1
0.574,0.680025708,0.542995327,0.839735718,0.680697734,0.5,0.5,0.1,0.1
0.576,0.680777824,0.544673711,0.838648048,0.68147842,0.5,0.5,0.1,0.1
0.578,0.68152348,0.546349917,0.837557024,0.682244061,0.5,0.5,0.1,0.1
0.58,0.682263664,0.548023937,0.83646265,0.682993868,0.5,0.5,0.1,0.1
0.582,0.682998976,0.549695765,0.83536493,0.683727441,0.5,0.5,0.1,0.1
0.584,0.683729598,0.551365394,0.834263868,0.684444795,0.5,0.5,0.1,0.1
0.586,0.684455294,0.553032818,0.83315947,0.68514636,0.5,0.5,0.1,0.1
0.588,0.685175447,0.55469803,0.832051739,0.685832952,0.5,0.5,0.1,0.1
0.59,0.685889112,0.556361023,0.830940679,0.686505709,0.5,0.5,0.1,0.1
0.592,0.6865951,0.55802179,0.829826296,0.687166015,0.5,0.5,0.1,0.1
0.594,0.687292074,0.559680326,0.828708593,0.687815399,0.5,0.5,0.1,0.1
0.596,0.687978655,0.561336623,0.827587576,0.688455434,0.5,0.5,0.1,0.1
0.598,0.688653528,0.562990674,0.826463248,0.689087626,0.5,0.5,0.1,0.1
0.6,0.689315541,0.564642473,0.825335615,0.689713316,0.5,0.5,0.1,0.1
0.602,0.689963795,0.566292014,0.82420468,0.690333595,0.5,0.5,0.1,0.1
